ec_time,ec_mem,overall_lat,emu_startup,rewind,emu_reset,replay,rewind_injections,pkt_lat,drop_lat,timeout,network,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
260564,140080,210005,207601,167,0,0,-1,0,547,346,network-core4,1,timeout,67,146,0,2038,27,1000,True,13446064,142096
246738,140080,198780,196730,191,0,0,-1,0,535,346,network-core4,1,timeout,67,146,0,2038,28,1000,True,13446064,142096
286499,139792,236487,234070,192,0,0,-1,0,559,346,network-core4,1,timeout,67,146,0,2038,26,1000,True,13446064,142096
243015,140080,188419,186496,173,0,0,-1,0,495,346,network-core4,1,timeout,67,146,0,2038,29,1000,True,13446064,142096
296072,139936,247798,245463,182,0,0,-1,0,542,346,network-core4,1,timeout,67,146,0,2038,32,1000,True,13446064,142096
259630,140080,212831,211216,167,0,0,-1,0,478,346,network-core4,1,timeout,67,146,0,2038,30,1000,True,13446064,142096
243845,140224,198699,196456,159,0,0,-1,0,523,346,network-core4,1,timeout,67,146,0,2038,25,1000,True,13446064,142096
248893,140080,190940,188747,154,0,0,-1,0,522,346,network-core4,1,timeout,67,146,0,2038,31,1000,True,13446064,142096
210979,147180,160977,158357,201,0,0,-1,0,594,353,network-all,1,timeout,236,524,0,7349,1041,3606,True,112994761,149340
228335,147324,182689,180515,163,0,0,-1,0,557,353,network-all,1,timeout,236,524,0,7349,1037,3606,True,112994761,149340
266684,147180,211825,209734,170,0,0,-1,0,569,353,network-all,1,timeout,236,524,0,7349,1045,3606,True,112994761,149340
270438,147180,208016,205655,168,0,0,-1,0,586,353,network-all,1,timeout,236,524,0,7349,1055,3606,True,112994761,149340
341163,147036,290591,287380,320,0,0,-1,0,605,353,network-all,1,timeout,236,524,0,7349,1025,3606,True,112994761,149340
229196,147180,172006,170598,76,0,0,-1,0,474,353,network-all,1,timeout,236,524,0,7349,1039,3606,True,112994761,149340
233576,147180,179229,177729,102,0,0,-1,0,487,353,network-all,1,timeout,236,524,0,7349,1033,3606,True,112994761,149340
300575,147036,215400,213168,167,0,0,-1,0,524,353,network-all,1,timeout,236,524,0,7349,1044,3606,True,112994761,149340
276474,147180,216972,214657,218,0,0,-1,0,598,353,network-all,1,timeout,236,524,0,7349,1030,3606,True,112994761,149340
256107,147180,192354,189599,188,0,0,-1,0,565,353,network-all,1,timeout,236,524,0,7349,1031,3606,True,112994761,149340
249682,147180,203896,202484,117,0,0,-1,0,517,353,network-all,1,timeout,236,524,0,7349,1046,3606,True,112994761,149340
239341,147180,189354,187314,166,0,0,-1,0,572,353,network-all,1,timeout,236,524,0,7349,1026,3606,True,112994761,149340
252403,147180,199637,197294,179,0,0,-1,0,574,353,network-all,1,timeout,236,524,0,7349,1048,3606,True,112994761,149340
295018,147180,231568,228741,248,0,0,-1,0,656,353,network-all,1,timeout,236,524,0,7349,1054,3606,True,112994761,149340
280017,147180,219818,217365,184,0,0,-1,0,589,353,network-all,1,timeout,236,524,0,7349,1043,3606,True,112994761,149340
275966,147180,226687,223885,214,0,0,-1,0,589,353,network-all,1,timeout,236,524,0,7349,1053,3606,True,112994761,149340
260470,147180,197776,196115,100,0,0,-1,0,513,353,network-all,1,timeout,236,524,0,7349,1029,3606,True,112994761,149340
238750,147036,189734,187526,225,0,0,-1,0,526,353,network-all,1,timeout,236,524,0,7349,1038,3606,True,112994761,149340
257077,147180,202172,199589,233,0,0,-1,0,523,353,network-all,1,timeout,236,524,0,7349,1036,3606,True,112994761,149340
258606,147180,211934,209513,162,0,0,-1,0,578,353,network-all,1,timeout,236,524,0,7349,1047,3606,True,112994761,149340
264305,147036,207714,206203,102,0,0,-1,0,484,353,network-all,1,timeout,236,524,0,7349,1050,3606,True,112994761,149340
286234,147180,236978,234006,334,0,0,-1,0,565,353,network-all,1,timeout,236,524,0,7349,1049,3606,True,112994761,149340
242373,147180,192999,190647,179,0,0,-1,0,617,353,network-all,1,timeout,236,524,0,7349,1052,3606,True,112994761,149340
247893,147180,199837,197492,168,0,0,-1,0,524,353,network-all,1,timeout,236,524,0,7349,1051,3606,True,112994761,149340
286754,147180,228166,225677,216,0,0,-1,0,541,353,network-all,1,timeout,236,524,0,7349,1056,3606,True,112994761,149340
273209,147180,219875,218360,82,0,0,-1,0,481,353,network-all,1,timeout,236,524,0,7349,1040,3606,True,112994761,149340
239475,147180,193091,191041,150,0,0,-1,0,591,353,network-all,1,timeout,236,524,0,7349,1034,3606,True,112994761,149340
249063,147180,198988,196763,154,0,0,-1,0,570,353,network-all,1,timeout,236,524,0,7349,1028,3606,True,112994761,149340
250472,147036,202721,199801,271,0,0,-1,0,621,353,network-all,1,timeout,236,524,0,7349,1042,3606,True,112994761,149340
243927,147180,194480,192413,189,0,0,-1,0,525,353,network-all,1,timeout,236,524,0,7349,1032,3606,True,112994761,149340
283479,147324,235054,232577,180,0,0,-1,0,604,353,network-all,1,timeout,236,524,0,7349,1027,3606,True,112994761,149340
225743,147324,177892,175447,223,0,0,-1,0,545,353,network-all,1,timeout,236,524,0,7349,1035,3606,True,112994761,149340
256196,140624,209795,207960,204,0,0,-1,0,466,330,network-core2,1,timeout,74,172,0,2321,36,1161,True,21188410,142640
236807,140624,174518,172175,197,0,0,-1,173,0,330,network-core2,1,timeout,74,172,0,2321,27,1161,True,21188410,142640
217891,140624,162103,159792,178,0,0,-1,165,0,330,network-core2,1,timeout,74,172,0,2321,28,1161,True,21188410,142640
224458,140624,178237,175761,187,0,0,-1,0,554,330,network-core2,1,timeout,74,172,0,2321,26,1161,True,21188410,142640
252562,140624,200883,198343,202,0,0,-1,154,0,330,network-core2,1,timeout,74,172,0,2321,29,1161,True,21188410,142640
272047,140624,211312,208692,217,0,0,-1,205,0,330,network-core2,1,timeout,74,172,0,2321,32,1161,True,21188410,142640
259645,140624,204189,201995,156,0,0,-1,173,0,330,network-core2,1,timeout,74,172,0,2321,30,1161,True,21188410,142640
240862,140480,193756,191401,177,0,0,-1,141,0,330,network-core2,1,timeout,74,172,0,2321,34,1161,True,21188410,142640
273010,140336,226900,224814,139,0,0,-1,118,0,330,network-core2,1,timeout,74,172,0,2321,25,1161,True,21188410,142640
209662,140624,160299,158638,143,0,0,-1,127,0,330,network-core2,1,timeout,74,172,0,2321,33,1161,True,21188410,142640
211305,140624,162095,160392,170,0,0,-1,103,0,330,network-core2,1,timeout,74,172,0,2321,31,1161,True,21188410,142640
252539,140624,206139,203965,143,0,0,-1,154,0,330,network-core2,1,timeout,74,172,0,2321,35,1161,True,21188410,142640
259256,138828,211496,209267,194,0,0,-1,0,465,304,network-core5,1,timeout,38,81,0,1250,4,547,True,1776943,141132
216122,139116,169981,167495,187,0,0,-1,153,0,304,network-core5,1,timeout,38,81,0,1250,3,547,True,1776943,141132
241159,139844,189405,187271,139,0,0,-1,0,456,292,network-core1,1,timeout,65,134,0,2426,9,1187,True,8076415,142292
260936,140132,210429,208335,158,0,0,-1,0,458,292,network-core1,1,timeout,65,134,0,2426,8,1187,True,8076415,142292
208611,140132,162914,161606,114,0,0,-1,0,411,292,network-core1,1,timeout,65,134,0,2426,12,1187,True,8076415,142292
243931,140132,196923,194813,187,0,0,-1,0,470,292,network-core1,1,timeout,65,134,0,2426,7,1187,True,8076415,142292
236095,140276,185573,184211,131,0,0,-1,0,414,292,network-core1,1,timeout,65,134,0,2426,11,1187,True,8076415,142292
290359,140132,243123,240902,215,0,0,-1,0,462,292,network-core1,1,timeout,65,134,0,2426,10,1187,True,8076415,142292
267181,139208,214036,211934,180,0,0,-1,0,457,286,network-core9,1,timeout,33,79,0,1336,9,566,True,4574984,141080
251167,139208,194720,192471,189,0,0,-1,0,463,286,network-core9,1,timeout,33,79,0,1336,8,566,True,4574984,141080
251907,139208,197022,195152,175,0,0,-1,0,447,286,network-core9,1,timeout,33,79,0,1336,7,566,True,4574984,141080
239434,139208,194537,192948,137,0,0,-1,0,416,286,network-core9,1,timeout,33,79,0,1336,6,566,True,4574984,141080
258787,139208,202569,200242,168,0,0,-1,0,505,286,network-core9,1,timeout,33,79,0,1336,10,566,True,4574984,141080
